id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,num_reviews,num_published_lectures,num_published_practice_tests,created,published_time,discounted_price_amount,price_detail_amount,currency
1230878,Essential Lean Manufacturing for Management Consultants,/course/essential-lean-manufacturing-for-management-consultants/,TRUE,4896,4.33168,4.20715,709,83,0,26-05-2017,28-05-2017,455,5760,INR
1259942,Online Arbitrage Mastermind 2.0 [Resell Products from Home],/course/retail-arbitrage-pro-utilize-amazon-to-your-advantage/,TRUE,13165,4.31579,4.39228,708,157,0,19-06-2017,20-06-2017,455,8640,INR
1734820,Bad Boss: Dealing with a Difficult Manager,/course/bad-boss/,TRUE,2297,4.58075,4.5977,707,24,0,06-06-2018,25-06-2018,455,8640,INR
965044,Creating a working environment based on RESPECT,/course/creating-an-environment-based-on-respect/,TRUE,2032,4.45,4.4991,705,8,0,22-09-2016,01-11-2016,455,2880,INR
1934778,CFA® Level 1 (2020) - Complete Fixed Income,/course/cfa-level-1-complete-fixed-income/,TRUE,6476,4.6069,4.6443,707,45,0,27-09-2018,01-10-2018,455,6400,INR
1261762,PCI (Payment Card) Standards for Corporate Professionals,/course/pci-payment-card-standards-for-corporate-professionals/,TRUE,2152,4.14706,4.22167,705,10,0,20-06-2017,14-08-2017,455,3200,INR
363348,Workplace Communication: Effectively Deliver Criticism,/course/how-to-deliver-criticism-in-the-workplace/,TRUE,19413,4.2807,4.15555,706,600,0,04-12-2014,11-12-2014,455,8640,INR
1211572,Coaching skills for managers,/course/leadership-coaching-skills/,TRUE,2925,4.10714,4.06886,703,11,0,10-05-2017,01-06-2017,455,2880,INR
1520372,Business Intelligence with Microstrategy 10 Analytics,/course/business-intelligence-with-microstrategy-10-analytics/,TRUE,2588,4.22414,4.29566,705,17,0,21-01-2018,11-05-2018,455,2880,INR
1336300,Manager's Guide to Difficult Conversations,/course/managers-guide-to-difficult-conversations/,TRUE,2810,4.31379,4.30476,700,28,0,31-08-2017,01-09-2017,481,8960,INR
580316,How To Start Your Own Digital Marketing Agency,/course/how-to-start-your-own-digital-marketing-agency/,TRUE,7783,4.27273,4.32089,696,135,0,11-08-2015,13-08-2015,488,9280,INR
703770,MQL4 Programming for Traders: Build Robust Trading Robots!,/course/algorithmic-trading-bootcamp-metatrader4/,TRUE,4408,4.18548,4.12975,696,74,0,22-12-2015,22-02-2016,455,8640,INR
485152,How to be an Expert in Piping Components for Oil&Gas Career,/course/process-pipe-fittings-for-oil-gas-career/,TRUE,3704,4.1338,4.09176,695,65,0,24-04-2015,21-07-2015,488,9280,INR
1673566,Certified Quality Engineer Training,/course/quality-engineer-certification/,TRUE,2680,4.48333,4.45706,694,358,0,03-05-2018,27-10-2018,3200,8960,INR
1512040,B2B Sales Objections Simplified,/course/sales-objections-simplified/,TRUE,2423,4.46774,4.46326,689,19,0,16-01-2018,24-01-2018,455,8640,INR
490356,12 Steps Business Case Development,/course/12-steps-business-case-development/,TRUE,5058,4.13462,4.08026,684,25,0,30-04-2015,06-05-2015,455,8640,INR
1162180,Digital Strategy Formulation: Become a Strategy Consultant,/course/digital-strategy-formulation-become-a-strategy-consultant/,TRUE,3968,4.25926,4.2838,682,17,0,29-03-2017,30-03-2017,455,6080,INR
1591290,Agile Project Management Bootcamp: Agile Project Management,/course/agile-project-management-course/,TRUE,5260,4.24667,4.20066,682,0,2,11-03-2018,12-03-2018,455,3200,INR
369660,The Non-Technical Person's guide to building products & apps,/course/launch-your-idea-idea-to-mvp-with-no-cto-and-no-coding/,TRUE,11665,4.45833,4.46643,680,119,0,13-12-2014,20-02-2015,488,9280,INR
1162868,Build Insightful Dashboards with Google Data Studio,/course/build-interactive-dashboards-and-reports-with-google-data-studio/,TRUE,3644,4.43571,4.35726,679,52,0,29-03-2017,27-07-2017,455,3200,INR
1338240,"Time Management, Prioritization and Productivity",/course/time-management-prioritization-and-productivity/,TRUE,2744,4.3,4.12553,677,27,0,02-09-2017,05-09-2017,455,8640,INR
517404,Fiverr: Freelance on Fiverr & Become a Top Rated Seller,/course/fiverr-freelancing-learn-from-a-fiverr-top-rated-seller/,TRUE,6700,4.54878,4.56617,677,49,0,01-06-2015,22-06-2015,455,8640,INR
2762,Simple Strategy for Swing Trading the Stock Market,/course/swing-trading-the-stock-market/,TRUE,2268,4.21642,4.22936,674,8,0,14-04-2010,14-04-2010,468,2560,INR
487450,How to Start and Run a Web Hosting Business from Home,/course/start-a-web-hosting-business/,TRUE,6594,4.3871,4.46775,673,53,0,27-04-2015,14-05-2015,455,6400,INR
1022836,Psychology and Therapy of Addictions -ACCREDITED CERTIFICATE,/course/addictions-psychology/,TRUE,2647,4.4965,4.45241,670,23,0,25-11-2016,30-11-2016,455,6720,INR
1188888,PMP Exam Prep: Project Management Certification - PMBOK 5,/course/pmp-exam-prep-project-management-certification-pmbok-5/,TRUE,15113,4.47183,4.48666,668,83,0,21-04-2017,22-05-2017,455,1280,INR
1006314,Financial Modeling for Business Analysts and Consultants,/course/financial-modeling-for-business-analysts-and-consultants/,TRUE,5404,4.26587,4.14793,668,72,0,08-11-2016,19-12-2016,474,6080,INR
2070459,The Real Estate Development Modeling Master Class,/course/the-real-estate-development-pro-forma-modeling-master-class/,TRUE,3568,4.56452,4.5598,668,136,0,06-12-2018,27-12-2018,455,8640,INR
1695640,Sales Skills & Negotiation Skills - Selling Masterclass 2020,/course/sales-and-negotiation-skills-business-development-masterclass/,TRUE,4811,4.39716,4.38709,666,291,0,15-05-2018,23-10-2018,455,8640,INR
557358,Branding You™: How to Build Your Multimedia Internet Empire,/course/branding-you-building-an-internet-business/,TRUE,8730,4.8,4.81067,663,47,0,17-07-2015,06-08-2015,455,8640,INR
179446,Commercial Credit Analysis,/course/commercial-credit-analysis/,TRUE,3294,4.30769,4.25609,662,42,0,09-03-2014,12-03-2014,455,1600,INR
